Average_Temperature_Deg_C,Year,Month,Country
-4.25,2011,February,USA
0.74,2011,March,USA
6.5,2011,April,USA
12.24,2011,May,USA
17.86,2011,June,USA
20.08,2011,August,USA
15.47,2011,September,USA
8.93,2011,October,USA
0.27,2011,November,USA
-2.7,2011,December,USA
-5.45,2012,January,USA
-1.45,2012,February,USA
2.74,2012,March,USA
8.06,2012,April,USA
13.45,2012,May,USA
18.37,2012,June,USA
19.77,2012,August,USA
15.23,2012,September,USA
7.88,2012,October,USA
1.77,2012,November,USA
-3.67,2012,December,USA
-4.19,2013,January,USA
-3.39,2013,February,USA
-0.26,2013,March,USA
4.57,2013,April,USA
12.24,2013,May,USA
18.65,2013,June,USA
20.69,2013,July,USA
19.74,2013,August,USA
15.7,2013,September,USA
8.84,2013,October,USA
0.5,2013,November,USA
-5.13,2013,December,USA
-3.64,2014,January,USA
-4.65,2014,February,USA
0.21,2014,March,USA
6.95,2014,April,USA
13.35,2014,May,USA
17.56,2014,June,USA
19.97,2014,July,USA
19.55,2014,August,USA
15.6,2014,September,USA
9.19,2014,October,USA
0.49,2014,November,USA
-1.19,2014,December,USA
-4.19,2015,January,USA
-3.49,2015,February,USA
2.29,2015,March,USA
7.63,2015,April,USA
13.56,2015,May,USA
18.9,2015,June,USA
20.54,2015,July,USA
19.39,2015,August,USA
16.04,2015,September,USA
10.14,2015,October,USA
2.38,2015,November,USA
-1.43,2015,December,USA
-2.92,2016,January,USA
0.01,2016,February,USA
3.66,2016,March,USA
8.36,2016,April,USA
13.31,2016,May,USA
19.06,2016,June,USA
20.18,2016,August,USA
16.02,2016,September,USA
10.19,2016,October,USA
3.37,2016,November,USA
-4.05,2016,December,USA
